43;1-Butyne;C4H6;107-00-6;54.090;-3.4644;334.5;-1.0811;;;147.43;1.369E-03;373.15;1.271E-04
44;Butyraldehyde;C4H8O;123-72-8;72.106;-10.057;903.73;-0.13186;;;176.75;3.602E-03;348.05;2.660E-04
45;Butyric acid;C4H8O2;107-92-6;88.105;-9.817;1388;-0.238;;;267.95;2.561E-03;436.42;3.087E-04
46;Butyronitrile;C4H7N;109-74-0;69.105;-10.136;1006.4;-0.1337;;;161.25;1.031E-02;390.75;2.344E-04
47;Carbon dioxide;CO2;124-38-9;44.010;18.775;-402.92;-4.6854;-6.9171E-26;10;216.58;2.488E-04;303.15;5.652E-05
48;Carbon disulfide;CS2;75-15-0;76.141;-10.306;703.01;;;;161.58;2.590E-03;441.60;1.640E-04
49;Carbon monoxide;CO;630-08-0;28.010;-4.9735;97.67;-1.1088;;;68.15;2.689E-04;131.37;6.515E-05
50;Carbon tetrachloride;CCl4;56-23-5;153.823;-8.0738;1121.1;-0.4726;;;250.00;2.032E-03;455.00;2.030E-04
51;Carbon tetrafluoride;CF4;75-73-0;88.004;-9.9212;300.5;;;;89.56;1.408E-03;145.10;3.897E-04
52;Chlorine;Cl2;7782-50-5;70.906;-9.5412;456.62;;;;172.12;1.020E-03;333.72;2.820E-04
53;Chlorobenzene;C6H5Cl;108-90-7;112.557;0.15772;540.5;-1.6075;;;250.00;1.422E-03;540.00;1.291E-04
54;Chloroethane;C2H5Cl;75-00-3;64.514;-10.216;702;-0.072;;;150.00;2.748E-03;373.15;1.567E-04
55;Chloroform;CHCl3;67-66-3;119.378;-14.109;1049.2;0.5377;;;209.63;1.970E-03;353.20;3.410E-04
56;Chloromethane;CH3Cl;74-87-3;50.488;-25.132;1381.9;2.0811;-4.4999E-27;10;175.43;1.501E-03;403.15;5.951E-05
57;1-Chloropropane;C3H7Cl;540-54-5;78.541;-13.994;949.4;0.50223;-6.163E-17;6;150.35;5.728E-03;423.15;1.154E-04
58;2-Chloropropane;C3H7Cl;75-29-6;78.541;-15.458;1086;0.654;;;250.00;5.515E-04;308.85;2.767E-04
59;m-Cresol;C;H;O;108-39-4;108.138;59.686;-3517.9;-9.838;9.0312E+12;-5;273.15;8.670E-02;564.68;1.630E-04
60;o-Cresol;C7H8O;95-48-7;108.138;-0.033937;390.77;-1.4547;5.0187E+12;-5;293.15;9.600E-03;558.04;2.160E-04
61;p-Cresol;C7H8O;106-44-5;108.138;-1.6355;1052.9;-1.3891;3.6844E+17;-7;273.15;9.770E-02;563.72;1.940E-04
62;Cumene;C9H12;98-82-8;120.192;-24.988;1807.9;2.0556;;;200.00;6.363E-03;400.00;2.881E-04
63;Cyanogen;C2N2;460-19-5;52.035;-12.086;994.23;;;;245.25;3.250E-04;320.12;1.260E-04
64;Cyclobutane;C4H8;287-23-0;56.106;-3.4968;397.94;-1.1087;;;182.48;8.345E-04;367.94;1.278E-04
65;Cyclohexane;C6H12;110-82-7;84.159;-33.763;2497.2;3.2236;;;279.69;1.260E-03;443.04;2.070E-04
66;Cyclohexanol;C6H12O;108-93-0;100.159;280.87;-31869;-38.837;3,994,500;-2.002;296.60;6.330E-02;520.08;1.650E-04
67;Cyclohexanone;C6H10O;108-94-1;98.143;-44.877;3227.7;4.887;;;242.00;8.960E-03;428.58;4.402E-04
68;Cyclohexene;C6H10;110-83-8;82.144;-11.641;1154.3;0.066511;;;200.00;4.018E-03;373.15;2.877E-04
69;Cyclopentane;C5H10;287-92-3;70.133;-3.2612;614.16;-1.156;;;225.00;1.122E-03;325.00;3.167E-04
70;Cyclopentene;C5H8;142-29-0;68.117;-4.1508;599.77;-1.0308;;;138.13;7.531E-03;405.60;1.416E-04
71;Cyclopropane;C3H6;75-19-4;42.080;-3.524;342.54;-1.1599;;;145.59;9.601E-04;318.40;1.080E-04
72;Cyclohexyl mercaptan;C6H12S;1569-69-3;116.224;-11.338;1304.1;0.000092396;;;189.64;1.155E-02;431.95;2.440E-04
73;Decanal;C10H20O;112-31-2;156.265;-10.115;1111.9;-0.015659;;;267.15;2.381E-03;488.15;3.583E-04
74;Decane;C10H22;124-18-5;142.282;-9.6489;1181.1;-0.24367;9.0522E+34;-15;240.05;2.780E-03;494.16;1.550E-04
75;Decanoic acid;C10H20O2;334-48-5;172.265;-12.305;2324.1;-0.055494;;;304.55;6.798E-03;543.15;2.304E-04
76;1-Decanol;C10H22O;112-30-1;158.281;-69.985;5818.8;8.0715;;;285.00;1.937E-02;503.00;2.727E-04
77;1-Decene;C10H20;872-05-9;140.266;-15.868;1434.8;0.68071;;;206.89;4.975E-03;443.75;2.064E-04
78;Decyl mercaptan;C10H22S;143-10-2;174.347;-11.464;1510.1;-0.012754;;;247.56;4.364E-03;512.35;1.848E-04
79;1-Decyne;C10H18;764-93-2;138.250;-2.3633;791.93;-1.2272;;;229.15;3.786E-03;505.60;2.167E-04
80;Deuterium;D2;7782-39-0;4.032;0.000001348;;;;;20.35;1.348E-06;20.35;1.348E-06
81;1,1-Dibromoethane;C2H4Br2;557-91-5;187.861;-10.457;1101.1;-0.0031354;;;210.15;5.331E-03;381.15;5.071E-04
82;1,2-Dibromoethane;C2H4Br2;106-93-4;187.861;-17.582;1635.4;0.9932;;;282.85;2.042E-03;404.51;5.120E-04
83;Dibromomethane;CH2Br2;74-95-3;173.835;-10.013;921.31;;;;220.60;2.920E-03;488.80;2.950E-04
84;Dibutyl ether;C8H18O;142-96-1;130.228;10.027;206;-3.1607;;;175.30;5.931E-03;414.15;1.989E-04
85;m-Dichlorobenzene;C6H4Cl2;541-73-1;147.002;-1.9265;387.67;-1.1335;1.5037E+14;-6;248.39;2.540E-03;547.16;2.340E-04
86;o-Dichlorobenzene;C6H4Cl2;95-50-1;147.002;-30.6;2153.4;2.9371;;;256.15;2.727E-03;453.57;3.761E-04
87;p-Dichlorobenzene;C6H4Cl2;106-46-7;147.002;31.63;-1080;-6.114;;;326.14;8.543E-04;447.21;3.039E-04
88;1,1-Dichloroethane;C2H4Cl2;75-34-3;98.959;-8.991;870.2;-0.2805;;;176.19;4.076E-03;330.45;3.407E-04
89;1,2-Dichloroethane;C2H4Cl2;107-06-2;98.959;15.312;-41.12;-3.919;;;237.49;1.839E-03;400.00;2.557E-04
90;Dichloromethane;CH2Cl2;75-09-2;84.933;-13.071;940.03;0.3733;;;208.38;1.407E-03;373.93;2.374E-04
91;1,1-Dichloropropane;C3H6Cl2;78-99-9;112.986;-10.872;1033.1;-0.00067435;;;200.00;3.312E-03;361.25;3.301E-04
92;1,2-Dichloropropane;C3H6Cl2;78-87-5;112.986;-11.269;1195.3;0.012736;;;172.71;1.381E-02;369.52;3.495E-04
93;Diethanol amine;C4H11NO2;111-42-2;105.136;-375.21;17177;66.66;-3.6367;0.5;293.15;8.130E-01;589.28;1.090E-04
94;Diethyl amine;C4H11N;109-89-7;73.137;-17.57;1385.7;0.85647;;;223.35;1.191E-03;329.10;2.260E-04
95;Diethyl ether;C4H10O;60-29-7;74.122;10.197;-63.8;-3.226;;;200.00;7.359E-04;373.15;1.141E-04
96;Diethyl sulfide;C4H10S;352-93-2;90.187;-5.135;667.5;-0.8553;;;225.00;1.113E-03;365.25;2.354E-04
97;1,1-Difluoroethane;C2H4F2;75-37-6;66.050;10.501;-52.181;-3.3459;;;154.56;1.229E-03;343.15;1.026E-04
98;1,2-Difluoroethane;C2H4F2;624-72-6;66.050;-10.072;710.48;-0.14677;;;215.00;5.231E-04;283.65;2.257E-04
99;Difluoromethane;CH2F2;75-10-5;52.023;-17.723;850.2;1.0601;-1.1719E-18;7;137.00;1.830E-03;343.15;6.050E-05
100;Di-isopropyl amine;C6H15N;108-18-9;101.190;-1.7366;599.8;-1.4237;;;250.00;7.479E-04;357.05;2.193E-04
101;Di-isopropyl ether;C6H14O;108-20-3;102.175;-11.5;993;0.022;;;187.65;2.259E-03;341.45;2.110E-04
102;Di-isopropyl ketone;C7H14O;565-80-0;114.185;-15.097;1426.9;0.51512;;;204.81;4.569E-03;397.55;2.194E-04
103;1,1-Dimethoxyethane;C4H10O2;534-15-6;90.121;-10.968;885.49;;;;159.95;4.375E-03;337.45;2.378E-04
104;1,2-Dimethoxypropane;C5H12O2;7778-85-0;104.148;-10.631;1086.4;;;;226.10;2.950E-03;366.15;4.695E-04
105;Dimethyl acetylene;C4H6;503-17-3;54.090;0.10842;300.2;-1.6831;;;240.91;3.796E-04;371.00;1.186E-04
106;Dimethyl amine;C2H7N;124-40-3;45.084;-10.93;699.5;;;;200.00;5.917E-04;308.15;1.734E-04
