1;466;168875.8000595784;44.053
2;761;3020.3801987076845;59.067
3;591.95;276478.7667461942;60.052
4;606;20700.401580592912;102.089
5;508.2;487576.49976812524;58.079
6;545.5;490493.36493692675;41.052
7;308.3;6.218036808519435e6;26.037
8;506;1.2037603713468362e6;56.063
9;615;500489.648887923;72.063
10;535;984479.2685377728;53.063
11;132.45;4.174627143203659e7;28.96
12;405.65;5.995320112279314e6;17.031
13;645.6;173630.77313043806;108.138
14;150.86;5.519560448136174e7;39.948
15;824;4808.434114322011;121.137
16;562.05;1.4063891502155545e6;78.112
17;689;212605.46335905977;110.177
18;751;669.9462133332215;122.121
19;699.35;83209.82234961558;103.121
20;830;431.0762775001041;182.218
21;720.15;13799.156841666116;108.138
22;662;107458.57374456954;136.191
23;718;95777.18731067581;124.203
24;773;27280.034288248185;154.208
25;584.15;7.354298985042488e6;159.808
26;670.15;696840.9392099982;157.008
27;503.8;5.054761525554226e6;108.965
28;467;1.3860493717361147e7;94.939
29;452;6.946930853759451e6;54.09
30;425;9.097940980230339e6;54.09
31;425.12;5.545418075076107e6;58.122
32;680;5919.961115805724;90.121
33;676;2328.2174455562517;90.121
34;563.1;51896.39749626315;74.122
35;535.9;18528.33710425115;74.122
36;419.5;9.018202466943612e6;56.106
37;435.5;9.04038760139962e6;56.106
38;428.6;1.0124484202613533e7;56.106
39;575.4;286907.890794921;116.158
40;660.5;168735.41066037453;134.218
41;570.1;1.6397776708279704e6;90.187
42;554;2.573261333759127e6;90.187
43;440;7.692856302434075e6;54.09
44;537.2;2.6729562477446096e6;72.106
45;615.7;143761.01481754912;88.105
46;582.25;1.0574789963238274e6;69.105
47;304.21;4.258616513665726e7;44.01
48;552;2.016120629049665e7;76.141
49;132.92;1.7357684242604822e8;28.01
50;556.35;5.430978739504049e6;153.823
51;227.51;5.242102305008325e7;88.004
52;417.15;3.0172268008319035e7;70.906
53;632.35;2.146608523075336e6;112.557
54;460.35;1.432474506655992e7;64.514
55;536.4;7.439643695505406e6;119.378
56;416.25;3.0685206660360835e7;50.488
57;503.15;7.983263642240788e6;78.541
58;489;9.417971449124994e6;78.541
59;705.85;53859.15652438489;108.138
60;697.55;169655.80356555287;108.138
61;704.65;30609.211595307323;108.138
62;631;714752.4697358456;120.192
63;400.15;1.7322851222301982e7;52.035
64;459.93;2.050399664188531e7;56.106
65;553.8;5.159463366172821e6;84.159
66;650.1;16797.765171053867;100.159
67;653;1.198652237915643e6;98.143
68;560.4;6.06477054335837e6;82.144
69;511.7;1.1478715368907062e7;70.133
70;507;1.3219066562983967e7;68.117
71;398;4.486023203869298e7;42.08
72;664;1.5261058915179532e6;116.224
73;674.2;19086.859202703523;156.265
74;617.7;101513.95586262173;142.282
75;722.1;4.826657991366044;172.265
76;688;16808.982248919827;158.281
77;616.6;105279.60657248726;140.266
78;696;11253.169448668767;174.347
79;619.85;75982.87715677962;138.25
80;38.35;5.541373036825833e8;4.032
81;628;2.9013134315959476e6;187.861
82;650.15;3.433653108316452e6;187.861
83;611;7.559052242000975e6;173.835
84;584.1;382402.6336173294;130.228
85;683.95;1.629742544653635e6;147.002
86;705;1.0718627251550981e6;147.002
87;684.75;1.188483590520617e6;147.002
88;523;1.0430308941643363e7;98.959
89;561.6;7.236750607444959e6;98.959
90;510;1.3275384784111107e7;84.933
91;560;4.984653016870527e6;112.986
92;572;5.648492431396712e6;112.986
93;736.6;913.8394055449921;105.136
94;496.6;4.624912704357343e6;73.137
95;466.7;9.154926206085524e6;74.122
96;557.15;4.576856718395053e6;90.187
97;386.44;2.6648729984060783e7;66.05
98;445;2.3564624701737113e7;66.05
99;351.255;4.894953123759702e7;52.023
100;523.1;2.265800930025858e6;101.19
101;500.05;3.6804284026554152e6;102.175
102;576;2.2236804215889536e6;114.185
103;507.8;6.653159138861675e6;90.121
104;543;3.710416443943186e6;104.148
105;473.2;1.7100310927355513e7;54.09
106;437.2;1.219111524810181e7;45.084
107;500;8.979222255586568e6;86.175
108;591.15;3.2876435764640705e6;112.213
109;606.15;2.501367837483459e6;112.213
110;596.15;3.0201101528955167e6;112.213
111;615;6.801779643128227e6;94.199
112;400.1;4.97522436976841e7;46.068
113;649.6;1.61419080279993e6;73.094
114;537.3;4.556604702804074e6;100.202
115;766;21617.820447796268;194.184
116;402;5.522696375371553e7;60.17
117;503.04;2.2047799632359695e7;62.134
118;729;1.110293304877034e6;78.133
119;772;79858.20474556363;194.184
120;587;5.536359282571026e6;88.105
121;766.8;292323.1603071727;170.207
122;550;1.4544342849268063e6;101.19
123;658;21617.165092322903;170.335
124;768;0.5218620113652301;282.547
125;305.32;1.41878463683482e8;30.069
126;514;1.599444782244002e6;46.068
127;523.3;4.0540072099992465e6;88.105
128;456.15;1.2867621029995691e7;45.084
129;617.15;2.489075326350764e6;106.165
130;698;324477.9447374556;150.175
131;655;48128.73771014194;116.158
132;571;1.2865969671567648e6;116.158
133;609.15;2.7351018686749493e6;112.213
134;569.5;5.499862341190247e6;98.186
135;282.34;1.968513591919471e8;28.053
136;593;2.2173537073479504e6;60.098
137;720;147382.4984954494;62.068
138;537;9.672193013440695e6;43.068
139;469.15;3.760057975559481e7;44.053
140;508.4;9.239073383004842e6;74.079
141;674.6;208.87572263906011;144.211
142;583;376237.10505689617;130.228
143;489;1.0035425236908592e7;88.148
144;567;2.751854487340377e6;100.159
145;499.15;2.8894663330980793e7;62.134
146;546;2.3620538108280445e6;102.132
147;500.23;2.119449745485379e6;88.148
148;559.95;5.108785973530462e6;163.506
149;144.12;5.647871841069582e8;37.997
