64;56.106;1.0881E-06;0.48359;330.86;;182.48;4.797E-06;1000;2.308E-05
65;84.159;6.77E-08;0.8367;36.7;;279.69;6.671E-06;900;1.928E-05
66;100.159;7.9581E-08;0.8376;104.97;;296.60;6.917E-06;1000;2.346E-05
67;98.143;5.2312E-08;0.89422;58.008;;242.00;5.714E-06;1000;2.381E-05
68;82.144;1.3326E-06;0.4537;445;;169.67;3.778E-06;1000;2.118E-05
69;70.133;2.3619E-07;0.67465;139;;179.28;4.409E-06;1000;2.191E-05
70;68.117;3.026E-07;0.64991;167.14;;138.13;3.369E-06;1000;2.309E-05
71;42.080;1.7578E-06;0.4265;370.34;;145.59;4.150E-06;1000;2.441E-05
72;116.224;3.915E-08;0.91427;22.264;;189.64;4.238E-06;1000;2.118E-05
73;156.265;1.2638E-07;0.7248;176.88;;267.15;4.365E-06;1000;1.605E-05
74;142.282;2.64E-08;0.9487;71;;243.51;3.755E-06;1000;1.730E-05
75;172.265;7.1748E-08;0.7982;109.38;;304.55;5.070E-06;1000;1.605E-05
76;158.281;5.5065E-08;0.8341;79.56;;280.05;4.715E-06;1000;1.622E-05
77;140.266;6.1192E-08;0.82546;77.434;;206.89;3.632E-06;1000;1.701E-05
78;174.347;3.272E-08;0.9302;39.13;;247.56;4.761E-06;1000;1.944E-05
79;138.250;5.6914E-07;0.50744;273.3;;229.15;4.091E-06;1000;1.488E-05
80;4.032;2.4999E-07;0.6878;0.5962;;60.00;4.137E-06;480;1.744E-05
81;187.861;1.4125E-07;0.8097;83.243;;210.15;7.685E-06;1000;3.502E-05
82;187.861;1.1379E-07;0.8502;93.816;;282.85;1.038E-05;1000;3.696E-05
83;173.835;2.9444E-07;0.728;154.74;;370.10;1.538E-05;1000;3.895E-05
84;130.228;7.7147E-08;0.79906;80.765;;175.30;3.278E-06;1000;1.781E-05
85;147.002;2.334E-07;0.714;260;;248.39;5.850E-06;1000;2.569E-05
86;147.002;1.603E-07;0.763;205;;256.15;6.127E-06;1000;2.588E-05
87;147.002;1.5913E-07;0.7639;193.14;;326.14;8.313E-06;1000;2.611E-05
88;98.959;2.0135E-07;0.73421;111.98;;176.19;5.487E-06;1000;2.887E-05
89;98.959;1.4321E-07;0.7785;98.159;;237.49;7.164E-06;1000;2.824E-05
90;84.933;7.6787E-07;0.5741;276.16;;178.01;5.895E-06;1000;3.175E-05
91;112.986;1.4906E-07;0.7617;105.9;;200.00;5.515E-06;1000;2.599E-05
92;112.986;1.1989E-07;0.79108;84.37;;172.71;4.742E-06;1000;2.611E-05
93;105.136;3.3628E-08;0.9426;39.587;;301.15;6.450E-06;1000;2.176E-05
94;73.137;4.3184E-07;0.6035;247;;223.35;5.364E-06;1000;2.239E-05
95;74.122;1.948E-06;0.41;495.8;;156.85;3.720E-06;1000;2.212E-05
96;90.187;6.5492E-08;0.86232;59.455;;169.20;4.046E-06;1000;2.388E-05
97;66.050;2.7228E-06;0.39531;445.07;;154.56;5.148E-06;1000;2.891E-05
98;66.050;4.3934E-07;0.64867;169.64;;215.00;8.001E-06;1000;3.317E-05
99;52.023;7.7484E-07;0.57978;198.7;;136.95;5.478E-06;1000;1.172E-12
100;101.190;4.138E-07;0.5999;269.5;;357.05;8.016E-06;1000;2.055E-05
101;102.175;1.691E-07;0.7114;124;;187.65;4.218E-06;1000;2.049E-05
102;114.185;9.2797E-08;0.7819;93.399;;204.81;4.089E-06;1000;1.881E-05
103;90.121;4.4172E-08;0.91098;;;159.95;4.497E-06;1000;2.388E-05
104;104.148;3.9833E-08;0.91566;;;226.10;5.701E-06;1000;2.225E-05
105;54.090;1.9377E-06;0.4093;492.69;;240.91;6.006E-06;1000;2.194E-05
106;45.084;2.757E-07;0.6841;133.2;;180.96;5.563E-06;1000;2.744E-05
107;86.175;6.8567E-07;0.52542;278.82;;145.19;3.211E-06;1000;2.021E-05
108;112.213;7.822E-07;0.4994;371.6;;392.70;7.936E-06;1000;1.796E-05
109;112.213;8.4576E-07;0.487;398;;402.94;7.900E-06;1000;1.749E-05
110;112.213;9.9104E-07;0.4723;436.89;;396.58;7.957E-06;1000;1.801E-05
111;94.199;3.2282E-08;0.97742;;;188.44;5.405E-06;1000;2.762E-05
112;46.068;0.00000268;0.3975;534;;131.65;3.688E-06;1000;2.722E-05
113;73.094;3.5538E-06;0.3766;1176.1;;212.72;4.097E-06;1000;2.202E-05
114;100.202;5.0372E-07;0.54462;227.44;;160.00;3.300E-06;1000;1.766E-05
115;194.184;5.2195E-08;0.85584;69.036;;274.18;5.089E-06;1000;1.804E-05
116;60.170;4.7238E-08;0.90849;;;122.93;3.739E-06;1000;2.511E-05
117;62.134;5.2854E-07;0.6112;302.85;;174.88;4.544E-06;1000;2.766E-05
118;78.133;8.6101E-08;0.8345;167.86;;291.67;6.231E-06;1000;2.350E-05
119;194.184;4.8739E-08;0.8749;51.885;;413.80;8.433E-06;1000;1.953E-05
120;88.105;2.7334E-07;0.7393;129.93;;284.95;1.226E-05;1000;3.995E-05
121;170.207;2.8451E-08;0.93622;;;300.03;5.933E-06;1000;1.831E-05
122;101.190;1.29E-07;0.744;117.03;;210.15;4.429E-06;1000;1.970E-05
123;170.335;6.344E-08;0.8287;219.5;;263.57;3.511E-06;1000;1.593E-05
124;282.547;2.9236E-07;0.62458;702.84;;309.58;3.214E-06;1000;1.284E-05
125;30.069;2.5906E-07;0.67988;98.902;;90.35;2.643E-06;1000;2.583E-05
126;46.068;1.0613E-07;0.8066;52.7;;200.00;6.029E-06;1000;2.651E-05
127;88.105;3.214E-06;0.3572;667;;189.60;4.632E-06;1000;2.274E-05
128;45.084;4.934E-07;0.5924;239.17;;192.15;4.953E-06;1000;2.384E-05
129;106.165;4.2231E-07;0.58154;239.21;;178.20;3.673E-06;1000;1.893E-05
130;150.175;6.3441E-08;0.8369;73.63;;238.45;4.733E-06;1000;1.915E-05
131;116.158;9.2371E-08;0.7908;102.32;;258.15;5.344E-06;1000;1.975E-05
132;116.158;1.6175E-07;0.7163;142.27;3,590;175.15;3.392E-06;1000;1.989E-05
133;112.213;4.107E-07;0.57143;230.06;;161.84;3.103E-06;1000;1.729E-05
134;98.186;2.1696E-06;0.3812;577.77;;134.71;2.659E-06;1000;1.914E-05
135;28.053;2.0789E-06;0.4163;352.7;;169.41;5.714E-06;1000;2.726E-05
136;60.098;1.3744E-07;0.7557;122.8;;284.29;6.863E-06;1000;2.264E-05
137;62.068;8.6706E-08;0.83923;75.512;;260.15;7.150E-06;1000;2.655E-05
138;43.068;2.8132E-07;0.6792;238.46;;329.00;8.359E-06;1000;2.477E-05
139;44.053;4.3403E-08;0.94806;;;160.65;5.356E-06;1000;3.032E-05
140;74.079;6.761E-07;0.5804;354.9;;193.55;5.069E-06;1000;2.750E-05
141;144.211;2.5704E-08;0.94738;;;235.00;4.532E-06;1000;1.787E-05
142;130.228;7.9129E-08;0.79565;83.193;;180.00;3.371E-06;1000;1.781E-05
143;88.148;1.3974E-07;0.74266;98.58;;140.00;3.219E-06;1000;2.150E-05
144;100.159;1.0498E-07;0.76988;100.41;;204.15;4.224E-06;1000;1.946E-05
145;62.134;8.5992E-08;0.8427;58.148;;125.26;3.441E-06;1000;2.742E-05
146;102.132;5.53E-07;0.6061;273.66;;199.25;5.768E-06;1000;2.857E-05
147;88.148;5.1539E-07;0.5726;288.76;;145.65;2.994E-06;1000;2.088E-05
148;163.506;3.2769E-08;0.9729;;;167.55;4.779E-06;1000;2.718E-05
149;37.997;6.36E-07;0.6638;61.6;;53.48;4.148E-06;1000;5.874E-05
150;96.102;2.1174E-07;0.7087;157.42;;357.88;9.491E-06;1000;2.446E-05
151;48.060;8.8742E-07;0.5404;251.82;;129.95;4.192E-06;1000;2.963E-05
152;34.033;1.2269E-07;0.82167;;;131.35;6.752E-06;1000;3.579E-05
153;30.026;4.758E-07;0.6405;161.7;;181.15;7.025E-06;1000;3.419E-05
154;45.041;6.829E-08;0.8774;54.864;;275.60;7.882E-06;1000;2.776E-05
155;46.026;2.8608E-07;0.6958;184.25;;281.45;8.751E-06;1000;2.954E-05
156;68.074;6.432E-07;0.5854;325.3;;187.55;5.037E-06;1000;2.768E-05
157;4.003;3.253E-07;0.7162;?9.6;107;20.00;3.531E-06;2000;7.561E-05
158;240.468;3.1338E-07;0.6238;692.2;;295.13;3.254E-06;1000;1.377E-05
159;114.185;8.4633E-08;0.79185;94.487;;229.80;4.444E-06;1000;1.836E-05
160;100.202;6.672E-08;0.82837;85.752;;182.57;3.391E-06;1000;1.878E-05
161;130.185;7.2834E-08;0.81279;89.874;;265.83;5.088E-06;1000;1.834E-05
162;116.201;2.572E-07;0.6502;248.6;;239.15;4.440E-06;1000;1.838E-05
163;116.201;9.1526E-08;0.78346;100.28;;230.00;4.516E-06;1000;1.864E-05
164;114.185;8.9656E-08;0.78236;100.14;;234.15;4.485E-06;1000;1.812E-05
165;114.185;8.8629E-08;0.78376;100.18;;238.15;4.550E-06;1000;1.809E-05
166;98.186;7.7509E-08;0.81089;69.927;;154.12;3.169E-06;1000;1.962E-05
167;132.267;4.697E-08;0.8932;57.6;;229.92;4.832E-06;1000;2.124E-05
168;96.170;5.9501E-07;0.52758;274.02;;192.22;3.932E-06;1000;1.787E-05
169;226.441;1.2463E-07;0.7322;395;6,000;291.31;3.274E-06;1000;1.399E-05
170;100.159;9.6724E-08;0.78044;97.798;;217.15;4.444E-06;1000;1.933E-05
171;86.175;1.7514E-07;0.70737;157.14;;177.83;3.631E-06;1000;2.005E-05
172;116.158;8.4032E-08;0.80073;96.779;;269.25;5.457E-06;1000;1.934E-05
173;102.175;1.5773E-07;0.7189;163.3;;228.55;4.567E-06;1000;1.945E-05
174;102.175;1.0652E-07;0.77022;105.85;;223.00;4.650E-06;1000;1.970E-05
175;100.159;9.782E-08;0.7772;99.53;;217.35;4.397E-06;1000;1.909E-05
176;100.159;9.8882E-08;0.7755;99.825;;217.50;4.403E-06;1000;1.907E-05
177;84.159;8.006E-08;0.81293;65.274;;133.39;2.871E-06;1000;2.064E-05
178;82.144;5.2127E-07;0.5444;237.01;;170.05;3.567E-06;1000;1.811E-05
179;118.240;4.3636E-08;0.90747;42.32;;192.62;4.235E-06;1000;2.209E-05
180;82.144;2.9986E-07;0.62647;178.17;;141.25;2.947E-06;1000;3.758E-13
181;82.144;5.5562E-07;0.5337;244.38;183.65;3.851E-06;1000;1.782E-05
182;32.045;2.3489E-07;0.7151;205.05;;274.69;7.460E-06;1673.15;4.225E-05
183;2.016;1.797E-07;0.685;?0.59;140;13.95;6.517E-07;3000;4.330E-05
184;80.912;9.17E-08;0.9273;;;206.45;1.285E-05;800;4.512E-05
185;36.461;4.924E-07;0.6702;157.7;;200.00;9.594E-06;1000;4.358E-05
186;27.025;1.278E-08;1.0631;340;;300.00;2.576E-06;425;4.421E-06
187;20.006;4.5101E-14;3.0005;?521.83;76,111;285.50;9.931E-06;472.68;2.019E-05
188;34.081;3.9314E-08;1.0134;;;250.00;1.058E-05;480;2.050E-05
189;88.105;1.1202E-07;0.7822;100.3;;227.15;5.415E-06;1000;2.261E-05
190;59.110;5.2542E-08;0.88063;;;177.95;5.037E-06;1000;2.304E-05
191;104.061;8.4213E-08;0.82573;102.08;;407.95;9.639E-06;1000;2.293E-05
192;86.089;9.113E-08;0.8222;93.57;;288.15;7.242E-06;1000;2.440E-05
193;16.042;5.2546E-07;0.59006;105.67;;90.69;3.468E-06;1000;2.800E-05
194;32.042;3.0663E-07;0.69655;205;;240.00;7.523E-06;1000;3.128E-05
195;73.094;8.0599E-08;0.8392;77.332;;301.15;7.714E-06;1000;2.464E-05
196;74.079;1.3226E-06;0.4885;504.3;;250.00;6.505E-06;800;2.125E-05
197;40.064;1.163E-06;0.4787;316;;170.45;4.769E-06;800;2.045E-05
198;86.089;1.648E-06;0.4444;510.66;;196.32;4.781E-06;1000;2.350E-05
199;31.057;5.6409E-07;0.5863;231.9;;179.69;5.167E-06;1000;2.628E-05
200;136.148;7.4106E-08;0.82436;83.086;;260.75;5.515E-06;1000;2.034E-05
201;68.117;4.0824E-07;0.5923;208.22;;159.53;3.572E-06;1000;2.022E-05
202;72.149;2.4344E-08;0.97376;?91.597;18,720;150.00;2.621E-06;1000;2.191E-05
203;102.132;1.869E-07;0.7096;192;;450.15;1.000E-05;1000;2.109E-05
204;88.148;8.8783E-08;0.80279;77.075;;155.95;3.423E-06;1000;2.111E-05
205;70.133;5.0602E-07;0.55258;199.82;;135.58;3.083E-06;1000;1.918E-05
206;70.133;8.5423E-07;0.47389;239.34;;139.39;3.263E-06;1000;1.820E-05
207;66.101;5.6844E-07;0.553;227.18;;160.15;3.893E-06;1000;2.112E-05
208;88.148;3.9342E-08;0.91086;;;157.48;3.947E-06;1000;2.125E-05
209;104.214;4.995E-08;0.89479;44.662;;175.30;4.052E-06;1000;2.312E-05
210;68.117;4.0748E-08;0.92709;;;183.45;5.112E-06;1000;2.463E-05
211;102.132;3.733E-07;0.6177;256.5;;187.35;3.993E-06;1000;2.118E-05
212;80.589;4.8806E-08;0.92549;;;139.05;4.698E-06;1000;2.917E-05
213;98.186;6.5281E-07;0.5294;310.59;;146.58;2.934E-06;1000;1.930E-05
214;114.185;8.5736E-08;0.80277;100.77;;299.15;6.232E-06;1000;1.994E-05
215;114.185;2.40E-07;0.68;210;;280.15;6.331E-06;1000;2.175E-05
216;114.185;2.00E-07;0.704;187;;269.15;6.062E-06;1000;2.181E-05
217;84.159;9.0798E-07;0.495;355.89;;130.73;2.722E-06;1000;2.046E-05
218;82.144;3.7026E-08;0.92849;;;146.62;3.800E-06;1000;2.259E-05
219;82.144;3.9771E-08;0.92242;;;115.00;3.165E-06;1000;2.327E-05
220;115.034;1.977E-07;0.7453;131.22;;182.55;5.574E-06;1000;3.009E-05
221;60.095;2.6098E-07;0.68276;133.4;;160.00;4.552E-06;1000;2.573E-05
222;72.106;2.6552E-08;0.98316;;;186.48;4.534E-06;1000;2.364E-05
223;76.161;8.6219E-08;0.83591;72.564;;167.23;4.341E-06;1000;2.588E-05
224;60.052;6.9755E-06;0.3154;1034.5;;174.15;5.117E-06;1000;3.029E-05
225;88.148;1.5035E-07;0.7338;108.5;;150.00;3.448E-06;1000;2.157E-05
226;100.159;9.4257E-08;0.7845;90.183;;189.15;3.901E-06;1000;1.951E-05
227;57.051;3.1573E-07;0.66404;173.59;256.15;7.481E-06;1000;2.642E-05
228;74.122;1.925E-07;0.7091;109;;127.93;3.242E-06;1000;2.327E-05
229;86.132;1.0826E-07;0.77382;93.349;;180.15;3.968E-06;1000;2.076E-05
230;90.187;8.6077E-08;0.81669;71.294;;171.64;4.065E-06;1000;2.265E-05
231;48.107;1.637E-07;0.76706;107.97;;150.18;4.450E-06;1000;2.956E-05
232;100.116;4.889E-07;0.6096;342.23;;224.95;5.265E-06;1000;2.456E-05
233;158.238;7.2131E-08;0.80319;99.437;;240.00;4.162E-06;1000;1.685E-05
234;86.175;1.1164E-06;0.4537;374.74;;119.55;2.366E-06;1000;1.865E-05
235;102.175;1.0546E-07;0.77106;93.745;;176.00;3.707E-06;1000;1.983E-05
236;58.122;1.0871E-07;0.78135;70.639;;150.00;3.707E-06;1000;2.242E-05
237;74.122;9.605E-07;0.4856;381;;298.97;6.727E-06;600;1.312E-05
238;56.106;9.0981E-07;0.49288;260.08;;132.81;3.423E-06;1000;2.174E-05
239;88.105;3.5642E-07;0.6327;232.2;;185.65;4.316E-06;1000;2.288E-05
240;74.122;4.4941E-08;0.90199;133.97;3.725E-06;1000;2.284E-05
241;90.187;5.8223E-08;0.88057;48.298;;160.17;3.908E-06;1000;2.434E-05
242;46.144;3.8926E-07;0.63159;169.45;;116.34;3.196E-06;1000;5.762E-13
243;118.176;7.1455E-07;0.49832;303.31;;249.95;5.057E-06;1000;1.714E-05
244;88.148;1.571E-07;0.733;111.578;;164.55;3.944E-06;1000;2.235E-05
245;58.079;7.646E-07;0.5476;284;;278.65;8.264E-06;1000;2.616E-05
246;128.171;6.4318E-07;0.5389;400.16;;353.43;7.125E-06;1000;1.900E-05
247;20.180;7.19E-07;0.6659;5.3;;30.00;5.884E-06;3273.1;1.573E-04
248;75.067;2.4391E-07;0.702;280;;183.63;3.752E-06;1000;2.432E-05
249;28.013;6.5592E-07;0.6081;54.714;;63.15;4.372E-06;1970;6.432E-05
250;71.002;8.2005E-07;0.61423;114.58;;66.46;3.964E-06;1000;1.975E-12
251;61.040;4.070E-07;0.6485;367.5;;244.60;5.756E-06;1000;2.625E-05
252;44.013;2.115E-06;0.4642;305.7;;182.30;8.854E-06;1000;4.000E-05
253;30.006;1.467E-06;0.5123;125.4;;110.00;7.618E-06;1500;5.737E-05
254;268.521;3.0465E-07;0.62218;705.34;;305.04;3.231E-06;1000;1.314E-05
255;142.239;7.1902E-08;0.8013;92.051;;255.15;4.483E-06;1000;1.669E-05
256;128.255;1.0344E-07;0.77301;220.47;;219.66;3.335E-06;1000;1.767E-05
257;158.238;7.0165E-08;0.8062;100.36;;285.65;4.957E-06;1000;1.672E-05
258;144.255;1.20E-07;0.74;180;;268.15;4.499E-06;1000;1.688E-05
259;144.255;7.0111E-08;0.80701;89.582;;238.15;4.219E-06;1000;1.697E-05
260;126.239;6.6329E-08;0.82027;76.204;;191.91;3.542E-06;1000;1.781E-05
261;160.320;3.8673E-08;0.91142;50.646;;253.05;4.995E-06;1000;1.996E-05
262;124.223;6.1447E-07;0.50705;287.19;;223.15;4.170E-06;1000;1.585E-05
263;254.494;3.2095E-07;0.61839;709.09;;301.31;3.266E-06;1000;1.345E-05
264;128.212;1.0321E-07;0.7589;121.26;;246.00;4.510E-06;1000;1.741E-05
265;114.229;3.1191E-08;0.92925;55.092;;216.38;3.677E-06;1000;1.813E-05
266;144.211;7.9611E-08;0.7948;106.6;;289.65;5.267E-06;1000;1.743E-05
267;130.228;1.752E-07;0.6941;206.8;;257.65;4.583E-06;1000;1.755E-05
268;130.228;8.1701E-08;0.79241;97.709;;241.55;4.498E-06;1000;1.774E-05
269;128.212;8.0901E-08;0.79062;99.338;;252.85;4.611E-06;1000;1.733E-05
270;128.212;6.1515E-11;1.8808;;;255.55;2.075E-06;1000;2.700E-05
271;112.213;5.0324E-05;0.077611;3604.6;;171.45;3.406E-06;1000;1.868E-05
272;146.294;3.3253E-08;0.9351;32.426;;223.95;4.579E-06;1000;2.057E-05
273;110.197;5.7084E-07;0.52446;271.76;;193.55;3.758E-06;1000;1.681E-05
274;90.035;1.1453E-07;0.7968;126.34;;462.65;1.196E-05;1000;2.498E-05
275;31.999;1.101E-06;0.5634;96.3;;54.35;3.773E-06;1500;6.371E-05
276;47.998;1.196E-07;0.84797;;;80.15;4.922E-06;1000;4.184E-05
277;212.415;4.0828E-08;0.8766;212.68;;283.07;3.288E-06;1000;1.436E-05
278;86.132;2.27E-07;0.6767;191.74;;182.00;3.740E-06;1000;2.042E-05
279;72.149;6.3412E-08;0.84758;41.718;;143.42;3.305E-06;1000;2.124E-05
280;102.132;9.4314E-08;0.7932;98.279;;239.15;5.150E-06;1000;2.058E-05
281;88.148;1.8903E-07;0.7031;175.9;;410.95;9.111E-06;1000;2.068E-05
282;88.148;1.1749E-07;0.7649;103.78;;200.00;4.452E-06;1000;2.098E-05
283;86.132;2.463E-07;0.6653;208.7;;196.29;4.003E-06;1000;2.019E-05
284;86.132;1.164E-07;0.7615;107.94;;234.18;5.079E-06;1000;2.023E-05
285;70.133;1.6378E-06;0.44337;636.11;?26,218;108.02;2.813E-06;1000;2.176E-05
286;104.214;8.8646E-08;0.81492;85.198;;160.75;3.638E-06;1000;2.275E-05
287;104.214;2.7467E-08;0.97555;;;197.45;4.766E-06;1000;2.320E-05
288;68.117;4.1022E-08;0.90585;;;167.45;4.242E-06;1000;2.141E-05
289;68.117;5.765E-07;0.53498;235.2;;163.83;3.621E-06;1000;1.879E-05
290;178.229;4.3478E-07;0.5272;238.27;;372.38;6.010E-06;1000;1.340E-05
