107;86.175;500;3.15;0.361;0.274;0.2493
108;112.213;591.15;2.938;0.45;0.269;0.2326
109;112.213;606.15;2.938;0.46;0.268;0.2324
110;112.213;596.15;2.938;0.46;0.273;0.2379
111;94.199;615;5.36;0.252;0.264;0.2059
112;46.068;400.1;5.37;0.17;0.2744;0.2002
113;73.094;649.6;4.42;0.26199;0.214;0.3177
114;100.202;537.3;2.91;0.393;0.256;0.2964
115;194.184;766;2.78;0.53;0.231;0.6568
116;60.170;402;3.56;0.258;0.275;0.1300
117;62.134;503.04;5.53;0.201;0.266;0.1943
118;78.133;729;5.65;0.227;0.212;0.2806
119;194.184;772;2.78;0.529;0.229;0.6371
120;88.105;587;5.208;0.238;0.254;0.2793
121;170.207;766.8;3.08;0.503;0.243;0.4389
122;101.190;550;3.14;0.402;0.276;0.4497
123;170.335;658;1.82;0.755;0.251;0.5764
124;282.547;768;1.16;1.34;0.243;0.9069
125;30.069;305.32;4.872;0.1455;0.279;0.0995
126;46.068;514;6.137;0.168;0.241;0.6436
127;88.105;523.3;3.88;0.286;0.255;0.3664
128;45.084;456.15;5.62;0.207;0.307;0.2848
129;106.165;617.15;3.609;0.374;0.263;0.3035
130;150.175;698;3.18;0.489;0.268;0.4771
131;116.158;655;3.41;0.389;0.244;0.6326
132;116.158;571;2.95;0.403;0.25;0.4011
133;112.213;609.15;3.04;0.43;0.258;0.2455
134;98.186;569.5;3.4;0.375;0.269;0.2701
135;28.053;282.34;5.041;0.131;0.281;0.0862
136;60.098;593;6.29;0.264;0.337;0.4724
137;62.068;720;8.2;0.191;0.262;0.5068
138;43.068;537;6.85;0.173;0.265;0.2007
139;44.053;469.15;7.19;0.140296;0.25876;0.1974
140;74.079;508.4;4.74;0.229;0.257;0.2847
141;144.211;674.6;2.778;0.528;0.262;0.8067
142;130.228;583;2.46;0.487;0.247;0.4944
143;88.148;489;3.41;0.329;0.276;0.3056
144;100.159;567;3.32;0.369;0.26;0.3891
145;62.134;499.15;5.49;0.207;0.274;0.1878
146;102.132;546;3.362;0.345;0.256;0.3944
147;88.148;500.23;3.37;0.339;0.275;0.3473
148;163.506;559.95;3.33;0.414;0.296;0.2691
149;37.997;144.12;5.172;0.066547;0.287;0.0530
150;96.102;560.09;4.551;0.269;0.263;0.2472
151;48.060;375.31;5.028;0.164;0.264;0.2200
152;34.033;317.42;5.875;0.113;0.252;0.1980
153;30.026;408;6.59;0.115;0.223;0.2818
154;45.041;771;7.8;0.163;0.198;0.4124
155;46.026;588;5.81;0.125;0.149;0.3173
156;68.074;490.15;5.5;0.218;0.294;0.2015
157;4.003;5.2;0.2275;0.0573;0.302;−0.3900
158;240.468;736;1.34;1.11;0.244;0.7697
159;114.185;616.8;3.16;0.434;0.267;0.4279
160;100.202;540.2;2.74;0.428;0.261;0.3495
161;130.185;677.3;3.043;0.466;0.252;0.7564
162;116.201;632.3;3.085;0.444;0.261;0.5621
163;116.201;608.3;3.001;0.447;0.265;0.5628
164;114.185;606.6;2.92;0.433;0.251;0.4076
165;114.185;611.4;2.94;0.434;0.251;0.4190
166;98.186;537.4;2.92;0.402;0.263;0.3432
167;132.267;645;2.77;0.465;0.24;0.4226
168;96.170;547;3.21;0.387;0.273;0.3778
169;226.441;723;1.4;1.04;0.243;0.7174
170;100.159;591;3.46;0.369;0.26;0.3872
171;86.175;507.6;3.025;0.371;0.266;0.3013
172;116.158;660.2;3.308;0.408;0.246;0.7299
173;102.175;611.3;3.446;0.382;0.259;0.5586
174;102.175;585.3;3.311;0.385;0.262;0.5574
175;100.159;587.61;3.287;0.378;0.254;0.3846
176;100.159;582.82;3.32;0.378;0.259;0.3801
177;84.159;504;3.21;0.348;0.267;0.2888
178;82.144;544;3.53;0.331;0.258;0.2183
179;118.240;623;3.08;0.412;0.245;0.3681
180;82.144;516.2;3.62;0.322;0.272;0.3327
181;82.144;549;3.53;0.331;0.256;0.2214
182;32.045;653.15;14.7;0.158;0.428;0.3143
183;2.016;33.19;1.313;0.064147;0.305;−0.2160
184;80.912;363.15;8.552;0.1;0.283;0.0734
185;36.461;324.65;8.31;0.081;0.249;0.1315
186;27.025;456.65;5.39;0.139;0.197;0.4099
187;20.006;461.15;6.48;0.069;0.117;0.3823
188;34.081;373.53;8.963;0.0985;0.284;0.0942
189;88.105;605;3.7;0.292;0.215;0.6141
190;59.110;471.85;4.54;0.221;0.256;0.2759
191;104.061;805;5.64;0.258;0.217;0.9418
192;86.089;662;4.79;0.28;0.244;0.3318
193;16.042;190.564;4.599;0.0986;0.286;0.0115
194;32.042;512.5;8.084;0.117;0.222;0.5658
195;73.094;718;4.98;0.267;0.223;0.4351
196;74.079;506.55;4.75;0.228;0.257;0.3313
197;40.064;402.4;5.63;0.164;0.276;0.2115
198;86.089;536;4.25;0.27;0.258;0.3423
199;31.057;430.05;7.46;0.154;0.321;0.2814
200;136.148;693;3.59;0.436;0.272;0.4205
201;68.117;490;3.83;0.291;0.274;0.1874
202;72.149;460.4;3.38;0.306;0.27;0.2279
203;102.132;643;3.89;0.347;0.252;0.5894
204;88.148;577.2;3.93;0.329;0.269;0.5939
205;70.133;465;3.447;0.292;0.26;0.2341
206;70.133;470;3.42;0.292;0.256;0.2870
207;66.101;492;4.38;0.248;0.266;0.1370
208;88.148;512.74;3.371;0.329;0.26;0.3130
209;104.214;593;3.47;0.36;0.253;0.3229
210;68.117;463.2;4.2;0.275;0.3;0.3081
211;102.132;554.5;3.473;0.34;0.256;0.3775
212;80.589;442;4.17;0.246;0.279;0.2252
213;98.186;572.1;3.48;0.369;0.27;0.2361
214;114.185;686;4;0.374;0.262;0.2213
215;114.185;614;3.79;0.374;0.278;0.6805
216;114.185;617;3.79;0.374;0.276;0.6790
217;84.159;532.7;3.79;0.319;0.273;0.2288
218;82.144;542;4.13;0.303;0.278;0.2318
219;82.144;526;4.13;0.303;0.286;0.2296
220;115.034;483;3.95;0.289;0.284;0.2758
221;60.095;437.8;4.4;0.221;0.267;0.2314
222;72.106;535.5;4.15;0.267;0.249;0.3234
223;76.161;533;4.26;0.254;0.244;0.2091
224;60.052;487.2;6;0.172;0.255;0.2556
225;88.148;497;3.41;0.329;0.272;0.3078
226;100.159;574.6;3.27;0.369;0.253;0.3557
227;57.051;488;5.48;0.202;0.273;0.3007
228;74.122;464.48;3.762;0.276;0.269;0.2656
229;86.132;553.4;3.8;0.31;0.256;0.3208
230;90.187;553.1;4.021;0.328;0.28718;0.2461
231;48.107;469.95;7.23;0.145;0.268;0.1582
232;100.116;566;3.68;0.323;0.253;0.2802
233;158.238;694;2.54;0.572;0.252;0.7913
234;86.175;497.7;3.04;0.368;0.27;0.2791
235;102.175;546.49;3.042;0.38;0.254;0.3442
236;58.122;407.8;3.64;0.259;0.278;0.1835
237;74.122;506.2;3.972;0.275;0.26;0.6152
238;56.106;417.9;4;0.239;0.275;0.1948
239;88.105;530.6;4.004;0.282;0.256;0.3466
240;74.122;476.25;3.801;0.276;0.265;0.2770
241;90.187;565;3.97;0.307;0.259;0.2737
242;46.144;352.5;4.7;0.205;0.329;0.1314
243;118.176;654;3.36;0.399;0.247;0.3230
244;88.148;497.1;3.287;0.314;0.25;0.2466
245;58.079;437;4.67;0.21;0.27;0.2416
246;128.171;748.4;4.05;0.407;0.265;0.3020
247;20.180;44.4;2.653;0.0417;0.3;−0.0396
248;75.067;593;5.16;0.236;0.247;0.3803
249;28.013;126.2;3.4;0.08921;0.289;0.0377
250;71.002;234;4.461;0.11875;0.272;0.1200
251;61.040;588.15;6.31;0.173;0.223;0.3480
252;44.013;309.57;7.245;0.0974;0.274;0.1409
253;30.006;180.15;6.48;0.058;0.251;0.5829
254;268.521;758;1.21;1.26;0.242;0.8522
255;142.239;658;2.73;0.527;0.263;0.5117
256;128.255;594.6;2.29;0.551;0.255;0.4435
257;158.238;710.7;2.514;0.584;0.248;0.7724
258;144.255;670.9;2.527;0.576;0.261;0.5841
259;144.255;649.5;2.541;0.577;0.271;0.5911
260;126.239;593.1;2.428;0.524;0.258;0.4367
